epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
27,3850,0.24800735712051392,0.0,0.0,-0.2671831250190735,0.02602492831647396,0.3552689552307129,0.0,0.5371156930923462,False,0.06467471271753311,0.0278913676738739,1.082993745803833,0.0,1082993745803.833,0.0,0.0,False,0.8106005004213982,0.0
28,3900,-0.28170251846313477,0.0,0.0,0.14861933887004852,-0.232331320643425,0.6087948083877563,0.0,0.5663436651229858,False,0.02689291350543499,0.0027568351943045855,0.19310960173606873,0.0,193109601736.06873,0.0,0.0,False,0.9101283620286464,0.0
28,3950,0.32291725277900696,0.0,0.0,-0.22529181838035583,0.0968114361166954,0.45110026001930237,0.0,0.50970858335495,False,0.029509272426366806,0.01031535305082798,0.040750205516815186,0.0,40750205516.815186,0.0,0.0,False,0.8377759106519284,0.0
28,4000,0.2788284420967102,0.0,0.0,0.281312495470047,-0.10883481055498123,1.0123226642608643,0.0,1.084109902381897,True,0.004592199809849262,0.027088405564427376,2.5677900314331055,0.0,2567790031433.1055,0.0,0.0,False,1.1087404532964806,0.0
29,4050,-0.25656625628471375,0.0,0.0,-0.16182419657707214,0.2016846388578415,0.18484967947006226,0.0,0.32846683263778687,False,0.03959454223513603,0.004861840046942234,0.09091310203075409,0.0,90913102030.75409,0.0,0.0,False,1.2070886925037787,0.0
29,4100,-0.11293835937976837,0.0,0.0,0.12659136950969696,0.034862227737903595,0.5296494364738464,0.0,0.5396075248718262,False,0.02853713557124138,0.002909278031438589,0.40489378571510315,0.0,404893785715.10315,0.0,0.0,False,0.9404811952948792,0.0
30,4150,0.09102289378643036,0.0,0.0,-0.12346703559160233,0.2675344944000244,0.34895849227905273,0.0,0.45141756534576416,False,0.025376923382282257,0.02993997558951378,0.01835021749138832,0.0,18350217491.38832,0.0,0.0,False,0.7692291903431763,0.0
30,4200,-0.3035476505756378,0.0,0.0,0.009810339659452438,-0.019070671871304512,1.2125730514526367,0.0,1.331305742263794,True,0.03774847090244293,0.07446704804897308,0.0884208083152771,0.0,88420808315.2771,0.0,0.0,False,0.7311066469808916,0.0
30,4250,0.169192373752594,0.0,0.0,0.3791041374206543,-0.23023688793182373,0.33500710129737854,0.0,0.5153946280479431,False,0.011158287525177002,0.0365997850894928,0.19388622045516968,0.0,193886220455.16968,0.0,0.0,False,0.7152204118135069,0.0
31,4300,-0.6483749151229858,0.0,0.0,0.5010923147201538,0.45023632049560547,0.5248958468437195,0.0,0.8851001262664795,False,0.036417752504348755,0.02698054350912571,0.44046953320503235,0.0,440469533205.03235,0.0,0.0,False,0.8286014996622211,0.0
31,4350,-0.32534059882164,0.0,0.0,0.2596130967140198,-0.12466053664684296,1.049678087234497,0.0,0.9958974719047546,False,0.33123189210891724,0.19341295957565308,0.0875864252448082,0.0,87586425244.8082,0.0,0.0,False,0.9022265036616341,0.0
31,4400,-0.7228063941001892,0.0,0.0,-0.575687825679779,0.1212942898273468,1.1649678945541382,0.0,1.0355144739151,True,0.01926528289914131,0.009434670209884644,3.6595606803894043,0.0,3659560680389.4043,0.0,0.0,False,0.8423012054261733,0.0
32,4450,-0.5499515533447266,0.0,0.0,-0.06348609179258347,-0.34815770387649536,2.2521300315856934,0.0,2.182501792907715,True,0.009050273336470127,0.0006227946141734719,5.861828327178955,0.0,5861828327178.955,0.0,0.0,False,0.9127454454638632,0.0
32,4500,0.48357832431793213,0.0,0.0,0.48509761691093445,-0.448925256729126,0.3560127913951874,0.0,0.4062889814376831,False,0.014353528618812561,0.0014897814253345132,0.03256579488515854,0.0,32565794885.15854,0.0,0.0,False,0.8835155212653325,0.0
32,4550,0.3412351906299591,0.0,0.0,0.32201460003852844,0.16794152557849884,0.32095807790756226,0.0,0.38906702399253845,False,0.008894257247447968,0.009736762382090092,0.09963539242744446,0.0,99635392427.44446,0.0,0.0,False,0.7962047159271691,0.0
33,4600,0.3270281255245209,0.0,0.0,-0.31135696172714233,0.2074538916349411,0.39158058166503906,0.0,0.4770934283733368,False,0.012464369647204876,0.0038257495034486055,0.07685202360153198,0.0,76852023601.53198,0.0,0.0,False,0.8420793540297817,0.0
33,4650,0.9417965412139893,0.0,0.0,-0.5881525874137878,-0.2986191511154175,1.3326387405395508,0.0,1.738442301750183,True,0.3434861898422241,0.254460871219635,0.7356991767883301,0.0,735699176788.3301,0.0,0.0,False,0.8746471711895262,0.0
34,4700,0.09761924296617508,0.0,0.0,-0.2012028992176056,0.2504688501358032,0.8313916325569153,0.0,0.8535767793655396,False,0.005397397093474865,0.01340019702911377,0.08217780292034149,0.0,82177802920.34149,0.0,0.0,False,0.8535484180909425,0.0
34,4750,-0.22455862164497375,0.0,0.0,-0.13576918840408325,0.05686398968100548,0.8720820546150208,0.0,0.8789777755737305,False,0.008651524782180786,0.00757242226973176,0.7774789929389954,0.0,777478992938.9954,0.0,0.0,False,0.8910186370269222,0.0
34,4800,-0.8576406240463257,0.0,0.0,-0.4990793764591217,0.19715432822704315,0.729496955871582,0.0,0.5061920881271362,False,0.11557736992835999,0.016334500163793564,2.0886905193328857,0.0,2088690519332.8857,0.0,0.0,False,0.9373732773710599,0.0
35,4850,0.35164570808410645,0.0,0.0,-0.13133282959461212,-0.2819509208202362,0.334570974111557,0.0,0.4443858563899994,False,0.02042841538786888,0.08667933195829391,0.036304887384176254,0.0,36304887384.176254,0.0,0.0,False,0.759694376746318,0.0
35,4900,0.22983990609645844,0.0,0.0,-0.22888870537281036,0.3455525040626526,0.5981873273849487,0.0,0.8038254976272583,False,0.10753000527620316,0.036545298993587494,0.0322493314743042,0.0,32249331474.3042,0.0,0.0,False,0.8756928737212055,0.0
35,4950,0.6733139753341675,0.0,0.0,-0.5175233483314514,0.14330436289310455,0.6442393064498901,0.0,0.8125523328781128,False,0.013706855475902557,0.004341716878116131,0.7421646118164062,0.0,742164611816.4062,0.0,0.0,False,0.8090571024945328,0.0
36,5000,0.4790239930152893,0.0,0.0,-0.010842430405318737,-0.07893406599760056,0.2695065140724182,0.0,0.7058103680610657,False,0.21897588670253754,0.044296614825725555,0.10344470292329788,0.0,103444702923.29788,0.0,0.0,False,0.9035218035983544,0.0
36,5050,0.04692734405398369,0.0,0.0,0.026592455804347992,0.010020432062447071,0.11920849233865738,0.0,0.3487342894077301,False,0.025229668244719505,0.014558146707713604,0.048079535365104675,0.0,48079535365.104675,0.0,0.0,False,0.9347496207906874,0.0
